BAINBRIDGE,11,DIABLO BLACK B,3
SB 805 A,16,PATRIOT,2
680 RED A,13,LA JOLLA A,9
ODIN BLACK,12,ROSE BOWL RED A,11
DIABLO RED A,7,LEGACY,12
VIPER PIGEON,13,SHAQ BLUE A,8
DAVIS,8,SAN JOES EXPRESS BLUE A,4
ALAMO AREA,9,THIRD COAST,7
NEWPORT BEACH,11,LAMORINDA A,7
TSUNAMI BLUE A,13,SOUTH COAST RED A,12
OAHU KAI,5,SEASIDE,7
RAIN CITY,5,NIPC,6
LAMORINDA B,6,NORCAL BLACK A,7
STANFORD A,7.3,SB 805 B,7.4
ASPHALT GREEN,9,CLOVIS A,10
SKIP,9,COLORADO,5
CHANNEL ISLANDS GOLD,12,SET BLACK A,18
LONG BEACH AF RED A,10,SANTA CRUZ BLACK A,9
SHARKS,13,COMMERCE,18
PUGET SOUND,5,CHICAGO PARK,6
SOCAL,9,LEGACY,3
SD SHORES BLACK,15,680 RED A,7
THUNDER,12,DAVIS,6
AMERICAN RIVER BLUE,7,BAINBRIDGE,15
DIABLO BLACK B,1,LYONS,12
PATRIOT,5,NEWPORT BEACH,14
LA JOLLA A,10,GREENWICH,11
ROSE BOWL RED A,9,SEASIDE,10
ODIN BLACK,6,THUNDER,5
RAIN CITY,12,ALAMO AREA,6
SAN JOES EXPRESS BLUE A,4,OAHU KAI,8
TSUNAMI BLUE A,14,VIPER PIGEON,9
CAL REPUBLIC BLACK,4.2,SEASIDE,4.4
SOUTH COAST RED A,6,SHAQ BLUE A,7
NIPC,6.8,THIRD COAST,6.9
REGENCY,13,NEWPORT BEACH,9
SKIP,11,COMMERCE,12
COLORADO,6,SHARKS,7
DAVIS,6,ROSE BOWL RED A,4
SB 805 A,9.5,SOCAL,9.3
LEGACY,8,PATRIOT,10
LONG BEACH AF RED A,15,GREENWICH,10
NORCAL BLACK A,9,BAINBRIDGE,4
DIABLO RED A,1,LAMORINDA A,5
THUNDER,13,CAL REPUBLIC BLACK,10
SANTA CRUZ BLACK A,5,LA JOLLA A,8
LAMORINDA B,14,AMERICAN RIVER BLUE,7
SB 805 B,9,SET BLACK A,11
ODIN BLACK,8,SEASIDE,3
CHICAGO PARK,9.1,LYONS,9.3
PUGET SOUND,7,DIABLO BLACK B,6
ASPHALT GREEN,8,680 RED A,7
STANFORD A,7,CHANNEL ISLANDS GOLD,6
CLOVIS A,7,SD SHORES BLACK,11
SOCAL,13,NEWPORT BEACH,14
SB 805 A,8,REGENCY,10
